id,example_id,lings_property_id,group_id,creator_id
0,43,1103,group_0,user_0_2
1,25,92,group_0,user_0_8
2,10,104,group_0,user_0_8
3,40,1072,group_0,user_0_3
4,38,62,group_0,user_0_5
5,30,219,group_0,user_0_0
6,14,954,group_0,user_0_3
7,14,380,group_0,user_0_5
8,15,1032,group_0,user_0_5
9,0,643,group_0,user_0_9
10,18,811,group_0,user_0_4
11,4,180,group_0,user_0_8
12,31,146,group_0,user_0_1
13,32,277,group_0,user_0_0
14,28,1384,group_0,user_0_4
15,16,1003,group_0,user_0_2
16,5,380,group_0,user_0_6
17,22,312,group_0,user_0_1
18,9,175,group_0,user_0_6
19,18,192,group_0,user_0_0
20,44,436,group_0,user_0_5
21,28,1032,group_0,user_0_8
22,3,1921,group_0,user_0_5
23,45,314,group_0,user_0_7
24,2,62,group_0,user_0_4
25,13,226,group_0,user_0_1
26,39,1040,group_0,user_0_2
27,39,338,group_0,user_0_4
28,27,1019,group_0,user_0_5
29,7,342,group_0,user_0_7
30,4,731,group_0,user_0_4
31,29,1139,group_0,user_0_9
32,9,112,group_0,user_0_8
33,37,4,group_0,user_0_3
34,3,346,group_0,user_0_2
36,39,1003,group_0,user_0_1
37,10,763,group_0,user_0_0
38,48,1174,group_0,user_0_9
39,16,197,group_0,user_0_5
40,8,872,group_0,user_0_2
41,29,615,group_0,user_0_2
42,2,188,group_0,user_0_1
43,31,24,group_0,user_0_2
44,40,61,group_0,user_0_7
45,43,99,group_0,user_0_1
46,28,1146,group_0,user_0_4
47,48,386,group_0,user_0_4
48,44,1,group_0,user_0_4
49,6,80,group_0,user_0_0
50,12,615,group_0,user_0_7
51,23,743,group_0,user_0_1
52,10,381,group_0,user_0_2
53,44,832,group_0,user_0_8
54,16,46,group_0,user_0_2
55,3,655,group_0,user_0_3
56,39,476,group_0,user_0_1
57,48,1289,group_0,user_0_3
58,42,808,group_0,user_0_1
59,22,206,group_0,user_0_0
60,11,1331,group_0,user_0_1
61,32,1650,group_0,user_0_0
62,38,309,group_0,user_0_2
63,13,565,group_0,user_0_8
64,11,1144,group_0,user_0_0
65,18,459,group_0,user_0_7
66,35,180,group_0,user_0_1
67,26,446,group_0,user_0_2
69,21,380,group_0,user_0_9
70,10,659,group_0,user_0_6
71,3,107,group_0,user_0_4
72,24,631,group_0,user_0_5
73,48,520,group_0,user_0_6
74,13,65,group_0,user_0_5
75,3,669,group_0,user_0_6
76,36,1417,group_0,user_0_5
77,15,2,group_0,user_0_0
78,37,549,group_0,user_0_3
79,12,474,group_0,user_0_6
80,43,958,group_0,user_0_6
81,15,325,group_0,user_0_8
82,8,250,group_0,user_0_6
83,30,770,group_0,user_0_1
84,7,3516,group_0,user_0_4
85,43,121,group_0,user_0_6
86,14,47,group_0,user_0_8
88,40,2768,group_0,user_0_2
89,46,162,group_0,user_0_5
90,25,1612,group_0,user_0_8
91,31,707,group_0,user_0_6
92,3,518,group_0,user_0_9
93,39,665,group_0,user_0_9
94,8,664,group_0,user_0_2
95,41,7,group_0,user_0_3
96,0,343,group_0,user_0_5
97,16,549,group_0,user_0_6
98,16,94,group_0,user_0_3
99,38,1,group_0,user_0_7
100,44,106,group_0,user_0_4
101,5,1412,group_0,user_0_7
102,16,165,group_0,user_0_4
