id,ling_id,property_id,value,group_id,creator_id
0,41,1,0,group_0,user_0_5
1,22,1,0,group_0,user_0_6
2,41,15,4,group_0,user_0_3
3,41,3,4,group_0,user_0_0
4,0,39,1,group_0,user_0_6
5,17,1,1,group_0,user_0_8
6,22,1,1,group_0,user_0_9
7,17,21,1,group_0,user_0_0
8,12,35,0,group_0,user_0_1
9,33,17,1,group_0,user_0_0
10,36,18,3,group_0,user_0_3
11,17,31,3,group_0,user_0_9
12,33,29,3,group_0,user_0_7
13,0,21,1,group_0,user_0_4
14,36,21,3,group_0,user_0_9
15,17,21,2,group_0,user_0_6
16,0,26,3,group_0,user_0_1
17,36,1,4,group_0,user_0_1
18,41,12,4,group_0,user_0_6
19,36,21,4,group_0,user_0_3
20,33,35,1,group_0,user_0_9
21,41,39,2,group_0,user_0_0
22,0,11,4,group_0,user_0_9
23,22,1,3,group_0,user_0_9
24,41,29,0,group_0,user_0_1
25,41,16,0,group_0,user_0_9
26,17,1,4,group_0,user_0_1
27,6,22,1,group_0,user_0_4
28,17,12,1,group_0,user_0_8
29,17,11,0,group_0,user_0_7
30,22,29,1,group_0,user_0_1
31,41,21,4,group_0,user_0_4
32,22,26,0,group_0,user_0_5
33,33,3,4,group_0,user_0_9
34,33,11,0,group_0,user_0_3
35,0,31,4,group_0,user_0_0
36,12,1,1,group_0,user_0_2
37,22,11,2,group_0,user_0_1
38,12,3,3,group_0,user_0_8
39,6,29,4,group_0,user_0_9
40,22,22,1,group_0,user_0_7
41,6,1,1,group_0,user_0_9
42,17,31,4,group_0,user_0_4
43,41,22,1,group_0,user_0_4
44,22,3,3,group_0,user_0_1
45,17,21,4,group_0,user_0_9
46,0,18,0,group_0,user_0_6
47,0,16,2,group_0,user_0_4
48,6,16,1,group_0,user_0_8
50,41,39,4,group_0,user_0_6
51,41,21,0,group_0,user_0_7
52,41,31,3,group_0,user_0_9
53,12,12,3,group_0,user_0_3
54,0,35,0,group_0,user_0_8
55,36,21,0,group_0,user_0_0
56,12,17,2,group_0,user_0_0
57,36,26,2,group_0,user_0_6
58,12,26,4,group_0,user_0_9
59,17,35,4,group_0,user_0_9
60,41,11,1,group_0,user_0_8
61,0,18,2,group_0,user_0_8
62,22,17,1,group_0,user_0_9
63,17,29,3,group_0,user_0_3
64,17,26,1,group_0,user_0_8
