id,exampleid,LingPropValID,group,creator,timestamp
0,43,6703,group_0,user_0_2,38
1,25,7373,group_0,user_0_8,445
2,10,7579,group_0,user_0_2,248
3,40,1051,group_0,user_0_2,210
4,38,5304,group_0,user_0_5,879
5,30,4787,group_0,user_0_7,557
6,14,3516,group_0,user_0_3,469
7,14,5441,group_0,user_0_7,153
8,15,3447,group_0,user_0_6,603
9,0,4499,group_0,user_0_0,438
10,18,6758,group_0,user_0_2,344
11,4,2012,group_0,user_0_6,711
12,31,8965,group_0,user_0_5,237
13,32,7380,group_0,user_0_9,435
14,28,3512,group_0,user_0_7,584
15,16,9974,group_0,user_0_1,756
16,5,1684,group_0,user_0_2,615
17,22,2159,group_0,user_0_3,665
18,9,8018,group_0,user_0_8,680
19,18,5122,group_0,user_0_2,918
20,44,3236,group_0,user_0_8,37
21,28,9647,group_0,user_0_3,469
22,3,3538,group_0,user_0_5,922
23,45,9443,group_0,user_0_9,940
24,2,8818,group_0,user_0_4,922
25,13,4897,group_0,user_0_9,489
26,39,8822,group_0,user_0_0,14
27,39,5066,group_0,user_0_1,12
28,27,6103,group_0,user_0_5,252
29,7,4214,group_0,user_0_4,336
30,4,542,group_0,user_0_0,302
31,29,4011,group_0,user_0_0,810
32,9,6719,group_0,user_0_3,295
33,37,6579,group_0,user_0_3,939
34,3,8971,group_0,user_0_6,66
35,9,9582,group_0,user_0_4,479
36,39,9817,group_0,user_0_1,10
37,10,7439,group_0,user_0_2,707
38,48,7169,group_0,user_0_0,179
39,16,4818,group_0,user_0_4,183
40,8,9128,group_0,user_0_4,841
41,29,6099,group_0,user_0_6,338
42,2,9702,group_0,user_0_0,352
43,31,704,group_0,user_0_3,670
44,40,4607,group_0,user_0_7,167
45,43,3225,group_0,user_0_9,464
46,28,9286,group_0,user_0_0,598
47,48,1873,group_0,user_0_9,262
48,44,5484,group_0,user_0_5,499
49,6,7749,group_0,user_0_5,37
50,12,7320,group_0,user_0_5,284
51,23,673,group_0,user_0_8,238
52,10,1047,group_0,user_0_1,754
53,44,4358,group_0,user_0_0,396
54,16,8768,group_0,user_0_1,346
55,3,6005,group_0,user_0_7,888
56,39,5713,group_0,user_0_1,530
57,48,8255,group_0,user_0_0,130
58,42,9913,group_0,user_0_7,783
59,22,3661,group_0,user_0_6,551
60,11,9842,group_0,user_0_6,10
61,32,7686,group_0,user_0_6,806
62,38,1915,group_0,user_0_9,776
63,13,6774,group_0,user_0_2,944
64,11,2013,group_0,user_0_0,620
65,18,5504,group_0,user_0_9,910
66,35,6529,group_0,user_0_1,583
67,26,2448,group_0,user_0_5,468
68,18,1345,group_0,user_0_9,341
69,21,5615,group_0,user_0_1,29
70,10,3136,group_0,user_0_0,559
71,3,7553,group_0,user_0_7,282
72,24,7354,group_0,user_0_9,652
73,48,8914,group_0,user_0_2,763
74,13,7763,group_0,user_0_1,528
75,3,1029,group_0,user_0_3,11
76,36,4839,group_0,user_0_6,205
77,15,3553,group_0,user_0_2,188
78,37,7006,group_0,user_0_7,305
79,12,250,group_0,user_0_4,543
80,43,5657,group_0,user_0_6,566
81,15,1161,group_0,user_0_5,865
82,8,9618,group_0,user_0_9,720
83,30,3170,group_0,user_0_4,877
84,7,7689,group_0,user_0_7,734
85,43,4578,group_0,user_0_4,532
86,14,3889,group_0,user_0_7,41
87,9,4913,group_0,user_0_3,409
88,40,5441,group_0,user_0_1,835
89,46,8712,group_0,user_0_6,751
90,25,6142,group_0,user_0_3,562
91,31,6228,group_0,user_0_5,733
92,3,8663,group_0,user_0_3,275
93,39,6649,group_0,user_0_1,601
94,8,9409,group_0,user_0_0,503
95,41,5557,group_0,user_0_9,234
96,0,4960,group_0,user_0_6,33
97,16,7928,group_0,user_0_7,226
98,16,6826,group_0,user_0_6,419
99,38,1217,group_0,user_0_2,486
100,44,7624,group_0,user_0_0,483
101,5,1072,group_0,user_0_9,289
102,16,3107,group_0,user_0_1,967
103,20,2172,group_0,user_0_6,224
104,33,7568,group_0,user_0_9,351
105,16,9175,group_0,user_0_1,961
106,27,1987,group_0,user_0_0,27
107,41,8234,group_0,user_0_8,928
108,47,2893,group_0,user_0_9,245
109,41,3020,group_0,user_0_9,926
110,23,3201,group_0,user_0_1,847
111,8,408,group_0,user_0_5,951
112,26,6591,group_0,user_0_1,300
113,28,865,group_0,user_0_6,720
114,40,2897,group_0,user_0_5,592
115,41,8920,group_0,user_0_4,647
116,22,1377,group_0,user_0_1,267
117,39,4551,group_0,user_0_6,979
118,7,4363,group_0,user_0_8,589
119,17,861,group_0,user_0_7,416
121,41,7840,group_0,user_0_9,736
122,0,3590,group_0,user_0_0,163
123,45,7025,group_0,user_0_2,8
124,7,3574,group_0,user_0_8,180
125,18,4147,group_0,user_0_8,177
126,40,2385,group_0,user_0_3,870
127,45,3534,group_0,user_0_5,134
128,7,8323,group_0,user_0_0,659
129,14,1391,group_0,user_0_3,673
130,9,4907,group_0,user_0_5,667
131,6,1761,group_0,user_0_5,244
132,24,6739,group_0,user_0_9,470
133,13,2041,group_0,user_0_4,798
134,44,4137,group_0,user_0_8,588
135,46,3162,group_0,user_0_1,571
136,11,4047,group_0,user_0_0,282
137,1,5653,group_0,user_0_4,862
138,16,9138,group_0,user_0_2,975
139,3,9633,group_0,user_0_6,555
140,4,6824,group_0,user_0_1,59
141,7,251,group_0,user_0_6,808
142,34,8408,group_0,user_0_0,642
143,31,7766,group_0,user_0_5,299
144,6,8028,group_0,user_0_8,282
145,26,7959,group_0,user_0_5,565
146,14,3544,group_0,user_0_7,203
147,5,5992,group_0,user_0_4,388
148,14,5433,group_0,user_0_1,999
149,5,4689,group_0,user_0_2,387
150,22,6867,group_0,user_0_4,130
151,15,7109,group_0,user_0_5,109
152,18,5455,group_0,user_0_7,806
153,31,2169,group_0,user_0_4,287
154,0,4742,group_0,user_0_9,788
155,13,2705,group_0,user_0_8,926
156,24,2882,group_0,user_0_3,685
157,1,2649,group_0,user_0_2,611
158,39,5008,group_0,user_0_7,87
159,33,5917,group_0,user_0_1,655
160,15,931,group_0,user_0_0,576
161,45,8299,group_0,user_0_9,484
162,2,8494,group_0,user_0_5,100
163,11,2466,group_0,user_0_2,447
164,47,3212,group_0,user_0_2,927
165,5,6135,group_0,user_0_1,563
