id,exampleid,LingPropValID,group,creator,timestamp
0,18,6669,group_0,user_0_8,225
1,44,4687,group_0,user_0_7,444
2,49,851,group_0,user_0_5,190
3,21,6830,group_0,user_0_6,953
4,26,4171,group_0,user_0_8,114
5,3,4732,group_0,user_0_9,275
6,38,2174,group_0,user_0_7,864
7,19,1114,group_0,user_0_8,294
8,23,4589,group_0,user_0_1,284
9,48,4508,group_0,user_0_5,299
10,7,5406,group_0,user_0_0,615
11,23,7483,group_0,user_0_3,629
12,36,5438,group_0,user_0_5,85
13,33,1270,group_0,user_0_4,802
14,7,1262,group_0,user_0_6,707
15,36,3086,group_0,user_0_0,498
16,33,1797,group_0,user_0_6,755
17,34,5215,group_0,user_0_4,887
18,6,5566,group_0,user_0_2,521
19,39,8272,group_0,user_0_8,392
20,34,2534,group_0,user_0_8,857
21,26,329,group_0,user_0_0,129
22,12,809,group_0,user_0_3,568
23,4,7309,group_0,user_0_2,973
24,35,8505,group_0,user_0_1,978
25,38,41,group_0,user_0_5,512
26,48,6405,group_0,user_0_7,473
27,29,2286,group_0,user_0_7,570
28,21,2314,group_0,user_0_7,820
29,27,7490,group_0,user_0_9,174
30,13,3585,group_0,user_0_8,232
31,4,315,group_0,user_0_2,150
32,16,6367,group_0,user_0_3,135
33,15,5441,group_0,user_0_1,830
34,9,9650,group_0,user_0_6,416
35,29,1613,group_0,user_0_4,12
36,47,153,group_0,user_0_1,456
37,14,4556,group_0,user_0_2,259
38,12,8848,group_0,user_0_7,225
39,49,906,group_0,user_0_7,464
40,20,1804,group_0,user_0_9,783
41,13,1391,group_0,user_0_4,565
42,6,3553,group_0,user_0_0,485
43,33,9583,group_0,user_0_4,598
44,5,7460,group_0,user_0_3,85
45,9,18,group_0,user_0_8,791
46,7,6754,group_0,user_0_0,55
47,1,7395,group_0,user_0_0,601
48,17,7816,group_0,user_0_9,516
49,2,1685,group_0,user_0_7,845
50,31,8007,group_0,user_0_2,857
51,5,6996,group_0,user_0_8,979
52,15,4993,group_0,user_0_9,789
53,42,7703,group_0,user_0_2,507
54,23,7447,group_0,user_0_2,644
55,38,9722,group_0,user_0_0,102
56,45,2973,group_0,user_0_8,324
57,30,7864,group_0,user_0_3,273
58,10,4805,group_0,user_0_1,762
59,12,8993,group_0,user_0_4,408
60,19,4521,group_0,user_0_0,66
61,37,3122,group_0,user_0_1,754
62,35,2841,group_0,user_0_6,581
63,35,5993,group_0,user_0_9,2
64,19,7115,group_0,user_0_0,291
65,40,138,group_0,user_0_3,668
66,2,3063,group_0,user_0_7,169
67,0,5051,group_0,user_0_8,429
68,11,1743,group_0,user_0_6,87
69,47,7847,group_0,user_0_8,154
70,13,7188,group_0,user_0_9,394
71,41,2386,group_0,user_0_2,139
72,44,6354,group_0,user_0_0,588
73,16,7323,group_0,user_0_7,317
74,38,6896,group_0,user_0_1,201
75,2,2687,group_0,user_0_5,557
76,42,3048,group_0,user_0_4,120
77,45,1317,group_0,user_0_6,626
78,36,4299,group_0,user_0_0,107
79,24,6445,group_0,user_0_5,906
80,43,9325,group_0,user_0_8,669
81,45,1934,group_0,user_0_2,362
82,47,4563,group_0,user_0_5,674
83,1,3372,group_0,user_0_1,334
84,5,603,group_0,user_0_0,833
85,27,6855,group_0,user_0_5,746
86,29,4533,group_0,user_0_6,756
87,26,4595,group_0,user_0_2,869
88,28,2930,group_0,user_0_8,914
89,9,4430,group_0,user_0_6,463
90,13,9883,group_0,user_0_0,618
91,43,9089,group_0,user_0_8,20
92,17,3912,group_0,user_0_7,326
93,47,2314,group_0,user_0_1,372
94,13,4583,group_0,user_0_0,471
95,24,8892,group_0,user_0_3,524
96,17,3194,group_0,user_0_1,396
97,4,9612,group_0,user_0_4,605
98,42,5228,group_0,user_0_0,116
99,45,4563,group_0,user_0_0,956
100,10,8677,group_0,user_0_1,811
101,18,3795,group_0,user_0_0,898
102,19,9202,group_0,user_0_3,543
103,41,7818,group_0,user_0_3,836
104,18,5636,group_0,user_0_6,285
105,38,7129,group_0,user_0_9,432
106,9,5373,group_0,user_0_4,96
107,13,6937,group_0,user_0_5,801
108,6,6178,group_0,user_0_2,469
109,36,3277,group_0,user_0_8,386
110,9,4304,group_0,user_0_5,939
111,25,4915,group_0,user_0_4,328
112,22,5594,group_0,user_0_1,656
113,1,5718,group_0,user_0_2,479
114,30,9775,group_0,user_0_1,567
115,14,1052,group_0,user_0_6,708
116,33,5899,group_0,user_0_2,769
117,42,7682,group_0,user_0_5,712
118,49,8229,group_0,user_0_7,332
119,2,7245,group_0,user_0_2,877
120,25,4813,group_0,user_0_8,287
121,43,9479,group_0,user_0_2,960
122,49,1228,group_0,user_0_4,315
123,37,8423,group_0,user_0_3,539
124,38,7991,group_0,user_0_8,294
125,43,6343,group_0,user_0_1,971
126,8,249,group_0,user_0_3,237
127,24,1403,group_0,user_0_2,907
128,44,2489,group_0,user_0_1,998
