id,lingid,propid,value,group,creator,timestamp
0,41,1,0,group_0,user_0_5,864
1,22,1,0,group_0,user_0_6,903
2,41,15,4,group_0,user_0_3,471
3,41,3,4,group_0,user_0_0,438
4,0,39,1,group_0,user_0_6,871
5,17,1,1,group_0,user_0_8,500
6,22,1,1,group_0,user_0_9,750
7,17,21,1,group_0,user_0_0,171
8,12,35,0,group_0,user_0_1,722
9,33,17,1,group_0,user_0_0,739
10,36,18,3,group_0,user_0_3,0
11,17,31,3,group_0,user_0_9,869
12,33,29,3,group_0,user_0_7,844
13,0,21,1,group_0,user_0_4,759
14,36,21,3,group_0,user_0_9,611
15,17,21,2,group_0,user_0_6,253
16,0,26,3,group_0,user_0_1,26
17,36,1,4,group_0,user_0_1,982
18,41,12,4,group_0,user_0_6,250
19,36,21,4,group_0,user_0_3,56
20,33,35,1,group_0,user_0_9,118
21,41,39,2,group_0,user_0_0,229
22,0,11,4,group_0,user_0_9,169
23,22,1,3,group_0,user_0_9,85
24,41,29,0,group_0,user_0_1,546
25,41,16,0,group_0,user_0_9,48
26,17,1,4,group_0,user_0_1,843
27,6,22,1,group_0,user_0_4,758
28,17,12,1,group_0,user_0_8,825
29,17,11,0,group_0,user_0_7,512
30,22,29,1,group_0,user_0_1,591
31,41,21,4,group_0,user_0_4,16
32,22,26,0,group_0,user_0_5,783
33,33,3,4,group_0,user_0_9,131
34,33,11,0,group_0,user_0_3,495
35,0,31,4,group_0,user_0_0,405
36,12,1,1,group_0,user_0_2,857
37,22,11,2,group_0,user_0_1,521
38,12,3,3,group_0,user_0_8,522
39,6,29,4,group_0,user_0_9,61
40,22,22,1,group_0,user_0_7,149
41,6,1,1,group_0,user_0_9,665
42,17,31,4,group_0,user_0_4,169
43,41,22,1,group_0,user_0_4,824
44,22,3,3,group_0,user_0_1,905
45,17,21,4,group_0,user_0_9,709
46,0,18,0,group_0,user_0_6,87
47,0,16,2,group_0,user_0_4,639
48,6,16,1,group_0,user_0_8,960
49,0,21,1,group_0,user_0_7,495
50,41,39,4,group_0,user_0_6,200
51,41,21,0,group_0,user_0_7,357
52,41,31,3,group_0,user_0_9,977
53,12,12,3,group_0,user_0_3,992
54,0,35,0,group_0,user_0_8,578
55,36,21,0,group_0,user_0_0,901
56,12,17,2,group_0,user_0_0,197
57,36,26,2,group_0,user_0_6,274
58,12,26,4,group_0,user_0_9,705
59,17,35,4,group_0,user_0_9,43
60,41,11,1,group_0,user_0_8,563
61,0,18,2,group_0,user_0_8,631
62,22,17,1,group_0,user_0_9,779
63,17,29,3,group_0,user_0_3,589
64,17,26,1,group_0,user_0_8,330
65,36,35,2,group_0,user_0_6,733
66,6,17,4,group_0,user_0_5,147
67,12,31,0,group_0,user_0_4,435
68,41,1,3,group_0,user_0_2,297
69,36,39,3,group_0,user_0_1,431
70,41,22,3,group_0,user_0_3,867
71,33,39,2,group_0,user_0_6,405
72,41,11,0,group_0,user_0_1,780
73,12,26,1,group_0,user_0_1,903
74,33,12,4,group_0,user_0_3,148
75,6,21,1,group_0,user_0_4,204
76,17,22,4,group_0,user_0_4,888
77,0,3,2,group_0,user_0_9,242
78,33,29,4,group_0,user_0_7,844
79,41,29,0,group_0,user_0_4,484
80,6,39,0,group_0,user_0_5,698
81,12,3,3,group_0,user_0_5,960
82,41,31,1,group_0,user_0_0,282
83,12,17,3,group_0,user_0_7,174
84,36,26,3,group_0,user_0_2,293
85,22,3,3,group_0,user_0_3,257
86,0,18,3,group_0,user_0_4,188
87,41,18,1,group_0,user_0_6,755
88,12,29,2,group_0,user_0_8,148
89,17,26,1,group_0,user_0_7,222
90,36,3,4,group_0,user_0_5,100
91,33,22,2,group_0,user_0_5,145
92,12,29,4,group_0,user_0_3,700
93,22,11,1,group_0,user_0_4,531
94,0,22,3,group_0,user_0_4,48
95,12,39,3,group_0,user_0_4,917
96,0,17,0,group_0,user_0_5,125
97,0,1,0,group_0,user_0_2,395
98,0,1,0,group_0,user_0_4,786
99,36,16,3,group_0,user_0_8,575
100,12,12,3,group_0,user_0_1,416
101,22,16,3,group_0,user_0_6,375
102,33,22,1,group_0,user_0_2,897
103,0,26,3,group_0,user_0_7,156
104,36,29,0,group_0,user_0_4,51
105,33,26,3,group_0,user_0_7,935
106,22,21,4,group_0,user_0_7,967
107,17,1,2,group_0,user_0_8,274
108,36,3,2,group_0,user_0_1,423
109,36,35,2,group_0,user_0_8,510
110,36,17,3,group_0,user_0_2,118
111,0,3,3,group_0,user_0_5,288
112,41,11,2,group_0,user_0_4,157
113,36,11,2,group_0,user_0_6,11
114,0,11,1,group_0,user_0_1,625
115,33,39,2,group_0,user_0_2,650
116,36,35,1,group_0,user_0_5,716
117,0,35,2,group_0,user_0_4,621
118,6,35,2,group_0,user_0_8,77
119,41,1,3,group_0,user_0_1,380
120,12,21,1,group_0,user_0_7,439
121,36,12,3,group_0,user_0_2,880
122,41,3,2,group_0,user_0_7,409
123,17,15,3,group_0,user_0_2,401
124,6,18,1,group_0,user_0_6,645
125,12,22,0,group_0,user_0_2,305
126,12,15,2,group_0,user_0_8,404
127,22,35,2,group_0,user_0_2,285
128,0,18,3,group_0,user_0_0,631
129,12,18,2,group_0,user_0_1,381
130,12,21,3,group_0,user_0_1,551
131,17,18,1,group_0,user_0_1,160
132,33,16,2,group_0,user_0_3,135
133,36,12,1,group_0,user_0_6,980
134,41,18,1,group_0,user_0_5,474
135,33,1,3,group_0,user_0_7,153
136,36,16,3,group_0,user_0_1,223
137,22,16,3,group_0,user_0_4,849
138,6,1,2,group_0,user_0_6,35
139,22,16,2,group_0,user_0_6,462
140,41,26,2,group_0,user_0_1,726
141,6,35,0,group_0,user_0_4,125
142,41,3,1,group_0,user_0_4,228
143,22,39,2,group_0,user_0_0,65
144,0,39,2,group_0,user_0_5,720
145,17,22,2,group_0,user_0_4,802
146,41,3,3,group_0,user_0_4,411
147,33,26,0,group_0,user_0_2,74
148,22,29,3,group_0,user_0_2,324
149,41,26,0,group_0,user_0_5,352
150,17,29,0,group_0,user_0_6,463
151,41,1,0,group_0,user_0_9,448
152,6,31,3,group_0,user_0_0,818
153,0,31,1,group_0,user_0_4,384
154,33,3,3,group_0,user_0_0,917
155,6,39,1,group_0,user_0_1,627
156,0,39,3,group_0,user_0_9,11
157,41,18,1,group_0,user_0_5,372
158,12,15,1,group_0,user_0_1,17
