id,lingid,propid,value,group,creator,timestamp
0,15,22,0,group_0,user_0_7,616
1,10,14,2,group_0,user_0_7,272
2,37,4,1,group_0,user_0_5,422
3,31,12,4,group_0,user_0_6,921
4,23,13,4,group_0,user_0_8,108
5,31,9,2,group_0,user_0_1,369
6,13,26,0,group_0,user_0_4,641
7,9,38,0,group_0,user_0_5,38
8,21,15,1,group_0,user_0_8,842
9,21,10,2,group_0,user_0_3,350
10,21,24,2,group_0,user_0_6,743
11,21,26,3,group_0,user_0_6,39
12,27,4,4,group_0,user_0_6,55
13,21,38,0,group_0,user_0_6,966
14,22,22,2,group_0,user_0_6,173
15,13,17,1,group_0,user_0_4,703
16,23,26,1,group_0,user_0_5,718
17,31,17,2,group_0,user_0_9,435
18,9,10,3,group_0,user_0_1,920
19,9,14,4,group_0,user_0_1,272
20,27,38,3,group_0,user_0_3,974
21,14,15,0,group_0,user_0_4,463
22,22,39,2,group_0,user_0_7,884
23,40,38,0,group_0,user_0_6,597
24,22,39,4,group_0,user_0_3,841
25,22,15,2,group_0,user_0_6,992
26,13,10,4,group_0,user_0_4,966
27,31,26,4,group_0,user_0_4,157
28,44,4,1,group_0,user_0_7,942
29,31,9,0,group_0,user_0_1,720
30,9,15,2,group_0,user_0_9,836
31,37,26,3,group_0,user_0_3,279
32,27,26,4,group_0,user_0_3,184
33,27,9,0,group_0,user_0_1,236
34,9,13,1,group_0,user_0_7,545
35,22,22,2,group_0,user_0_0,326
36,44,9,4,group_0,user_0_2,175
37,14,10,0,group_0,user_0_8,600
38,22,4,3,group_0,user_0_8,241
39,14,17,1,group_0,user_0_2,861
40,44,26,3,group_0,user_0_3,964
41,15,15,0,group_0,user_0_7,925
42,40,35,0,group_0,user_0_8,987
43,21,9,0,group_0,user_0_1,905
44,10,24,3,group_0,user_0_9,146
45,9,38,3,group_0,user_0_5,380
46,40,22,2,group_0,user_0_7,577
47,22,26,2,group_0,user_0_1,353
48,9,13,4,group_0,user_0_5,342
49,27,35,4,group_0,user_0_1,568
50,22,24,2,group_0,user_0_6,770
51,15,9,4,group_0,user_0_7,469
52,37,17,2,group_0,user_0_2,66
53,21,13,4,group_0,user_0_4,631
54,23,17,4,group_0,user_0_1,161
55,6,9,1,group_0,user_0_5,754
56,15,38,1,group_0,user_0_6,877
57,23,26,0,group_0,user_0_2,18
58,19,39,0,group_0,user_0_9,541
59,44,4,3,group_0,user_0_6,219
60,31,9,2,group_0,user_0_4,353
61,21,10,0,group_0,user_0_3,984
62,21,9,4,group_0,user_0_7,958
63,9,12,3,group_0,user_0_5,907
64,10,13,2,group_0,user_0_1,36
65,37,22,3,group_0,user_0_7,350
66,40,15,0,group_0,user_0_2,844
67,40,10,0,group_0,user_0_6,323
68,31,26,0,group_0,user_0_9,727
69,19,26,0,group_0,user_0_6,511
70,14,15,4,group_0,user_0_5,652
71,10,39,0,group_0,user_0_3,691
72,23,14,3,group_0,user_0_5,303
73,44,13,2,group_0,user_0_6,385
74,19,9,3,group_0,user_0_1,285
75,13,15,4,group_0,user_0_2,604
76,15,38,0,group_0,user_0_0,631
77,14,10,2,group_0,user_0_4,29
78,22,26,3,group_0,user_0_1,384
79,37,13,0,group_0,user_0_6,502
80,6,39,3,group_0,user_0_9,134
81,22,26,4,group_0,user_0_7,226
82,23,39,1,group_0,user_0_1,914
83,37,22,0,group_0,user_0_6,890
84,21,10,4,group_0,user_0_4,254
85,27,13,2,group_0,user_0_8,29
86,23,26,4,group_0,user_0_9,66
87,23,39,1,group_0,user_0_3,570
88,31,13,2,group_0,user_0_0,174
89,15,39,0,group_0,user_0_5,194
90,14,38,4,group_0,user_0_4,646
91,23,10,0,group_0,user_0_7,408
92,10,10,4,group_0,user_0_4,232
93,19,14,3,group_0,user_0_4,784
94,31,38,3,group_0,user_0_9,898
95,22,26,3,group_0,user_0_7,306
96,37,26,2,group_0,user_0_9,133
97,37,24,4,group_0,user_0_7,342
98,23,12,4,group_0,user_0_4,511
99,31,4,1,group_0,user_0_0,924
100,21,39,1,group_0,user_0_2,119
101,23,35,4,group_0,user_0_6,27
102,23,15,1,group_0,user_0_7,483
103,21,14,1,group_0,user_0_8,474
104,22,22,2,group_0,user_0_2,863
105,15,15,4,group_0,user_0_4,955
106,22,39,2,group_0,user_0_5,478
107,13,9,3,group_0,user_0_0,36
108,19,9,1,group_0,user_0_5,388
109,13,38,0,group_0,user_0_8,959
110,9,15,1,group_0,user_0_0,432
111,44,9,4,group_0,user_0_8,449
112,37,24,4,group_0,user_0_6,767
113,23,14,1,group_0,user_0_3,745
114,37,38,4,group_0,user_0_0,81
115,13,14,0,group_0,user_0_1,920
116,19,12,3,group_0,user_0_6,178
117,9,22,2,group_0,user_0_5,596
118,40,14,1,group_0,user_0_9,629
119,9,22,4,group_0,user_0_5,308
120,44,10,2,group_0,user_0_1,155
121,10,38,2,group_0,user_0_8,718
122,44,26,1,group_0,user_0_0,50
